name,image,parent,woocommerce_id,woocommerce_name,eposnow_name,airtable_id
Uncategorized,,,17,Uncategorized,,recjQ6kyb7btvSefA
Bags,http://bambooturtle.co.uk/wp-content/uploads/2018/02/24862480_1869784196665896_1742877809472711991_n.jpg,,20,BAGS,bags jars bottles boxes,rectzHKqBZOc3eJVx
Baking,http://bambooturtle.co.uk/wp-content/uploads/2018/02/janko-ferlic-435794.jpg,Food,24,BAKING,baking,recNFzKKL6Rd4183U
Bathroom,http://bambooturtle.co.uk/wp-content/uploads/2018/05/charles-deluvio-456791-unsplash.jpg,,35,bathroom,bathroom,recbKPL275uj6W2Ec
Beans & pulses,http://bambooturtle.co.uk/wp-content/uploads/2018/02/jasmine-waheed-505276.jpg,Food,21,BEANS &amp; PULSES,grains & beans ,recNwGjkLuHIyNbJn
Beauty,http://bambooturtle.co.uk/wp-content/uploads/2018/05/jess-watters-483118.jpg,,32,beauty,"Dental,Hair,Ladies",recX5HlfFoGAUei5d
Cereal,http://bambooturtle.co.uk/wp-content/uploads/2018/02/andrea-tummons-448848.jpg,Food,23,CEREAL,cereal,recMS16WL1g3HD6OR
Cleaning,http://bambooturtle.co.uk/wp-content/uploads/2018/02/denise-johnson-426653.jpg,,18,CLEANING,washing,recH0wujCGfydaX9p
Dried fruit,http://bambooturtle.co.uk/wp-content/uploads/2018/05/tim-chow-616874-unsplash.jpg,Food,25,DRIED FRUIT,fruit,recLPuMSbfvQBZHu0
Food,http://bambooturtle.co.uk/wp-content/uploads/2018/05/healthiestchocolatefudge.jpg,,34,food,,recLJeu3UXOw0wga7
General,http://bambooturtle.co.uk/wp-content/uploads/2018/06/jon-tyson-589385-unsplash.jpg,,58,general,"chilly,bees,Books,Gift sets",recFULNHkqnpwX2Qi
Grains,http://bambooturtle.co.uk/wp-content/uploads/2018/02/deryn-macey-508324.jpg,Food,22,GRAINS,,recuo0J5jntrH7W80
Kitchen,http://bambooturtle.co.uk/wp-content/uploads/2018/02/min-ling-225147.jpg,,19,KITCHEN,kitchen,recnnwFm4nXnadHpx
Nuts & seeds,http://bambooturtle.co.uk/wp-content/uploads/2018/02/juan-jose-valencia-antia-16138.jpg,Food,26,NUTS &amp; SEEDS,nuts & seeds,rec4O5t5hupmewSdZ
Rice & pasta,http://bambooturtle.co.uk/wp-content/uploads/2018/05/jonathan-pielmayer-40070-unsplash.jpg,Food,28,RICE &amp; PASTA,pasta & rice,recEnKA8BV2xhHxOR
Spices & herbs,,Food,69,Spices &amp; herbs,"spices,herbs",recSm3GlyXTkOvIA5
Coffee & tea,,Food,70,Coffee &amp; tea,coffee /tea ,recyIW0U3Vpndnj2m
Snacks,,Food,71,Snacks,Snacks,recw5K8kDPrb8lhkO
Mylk,,Food,72,Mylk,Mylk,recFsAio2Zjvh1u4K
